Outdoor,Timid,Intelligent,Predoiseau,Predmamm,Extraversion,Dominance,Neuroticism,Agreeableness,Age_2a10,Age_Plusde10,Accommodation_ASB,Accommodation_MI,Accommodation_ML,Area_R,Area_U,Abundance_2,Abundance_3
1,1,5,0,0,4.8999999999999995,7.4,2.2,5.4,False,False,False,True,False,True,False,False,True
1,4,4,0,0,5.6,2.6,4.0,6.0,False,True,False,True,False,True,False,False,True
0,4,5,0,0,3.4999999999999996,3.8000000000000003,3.2,4.3,True,False,False,True,False,True,False,False,True
0,2,4,0,0,5.6,2.6,2.5999999999999996,5.6000000000000005,True,False,False,True,False,True,False,False,True
1,5,5,0,0,7.0,3.8,6.2,5.699999999999999,True,False,False,True,False,True,False,False,True
0,4,5,0,0,7.0,2.6,4.4,6.5,True,False,False,False,True,False,False,False,True
2,4,5,0,1,6.3,8.600000000000001,4.4,8.6,True,False,False,False,True,True,False,False,True
2,4,5,0,0,6.3,5.0,5.3,9.0,False,True,False,True,False,True,False,False,True
0,1,4,0,0,7.0,11.2,3.8,7.2,True,False,False,True,False,False,False,False,True
3,4,5,0,3,7.0,10.200000000000001,1.6,6.699999999999999,True,False,False,True,False,True,False,False,True
1,2,5,0,0,7.0,8.2,4.1,7.3,False,False,False,True,False,False,False,False,True
0,3,4,0,0,5.6,2.6,4.0,5.9,False,True,False,True,False,True,False,False,True
2,2,5,0,1,3.4999999999999996,4.3999999999999995,3.1,6.8999999999999995,False,True,False,False,True,False,False,False,True
0,2,5,0,0,7.0,2.6,2.5,7.8,True,False,False,True,False,True,False,False,True
0,4,4,0,0,6.3,5.2,4.9,7.3,True,False,False,False,True,True,False,False,True
0,3,5,0,0,5.6,5.4,3.9000000000000004,6.3999999999999995,True,False,False,True,False,False,False,False,True
2,3,5,0,0,4.199999999999999,5.8,2.8,5.0,True,False,True,False,False,False,True,False,True
0,5,5,0,0,4.199999999999999,5.4,4.9,6.7,True,False,False,True,False,False,False,False,True
0,3,5,0,0,7.0,6.199999999999999,5.5,6.5,True,False,False,True,False,False,False,False,True
2,1,4,0,3,4.8999999999999995,10.4,3.4,4.5,True,False,False,True,False,True,False,False,True
1,1,3,0,0,4.8999999999999995,2.6,4.0,9.0,True,False,False,True,False,True,False,False,True
0,2,4,0,0,5.6,5.8,3.8,5.699999999999999,True,False,False,False,True,False,False,False,True
0,1,3,0,0,4.8999999999999995,4.6,2.5999999999999996,7.199999999999999,True,False,False,True,False,True,False,False,True
0,5,4,0,0,6.3,9.2,4.0,5.4,True,False,True,False,False,True,False,False,True
0,2,5,0,0,4.199999999999999,6.0,4.8,7.0,False,False,False,False,True,True,False,False,True
0,4,5,0,0,7.0,7.800000000000001,4.2,6.9,True,False,True,False,False,False,True,False,True
1,2,4,0,0,6.3,9.8,5.8,6.800000000000001,True,False,False,False,False,False,True,False,True
2,4,5,0,1,7.0,6.6,4.3,5.8,False,True,False,True,False,True,False,False,True
2,4,4,0,3,4.199999999999999,5.8,5.4,7.3,False,False,False,True,False,True,False,False,True
0,1,4,0,0,5.6,8.0,4.6,4.9,True,False,False,True,False,True,False,False,True
2,3,3,0,0,5.6,2.6,3.3999999999999995,3.8,False,False,False,True,False,True,False,False,True
1,2,4,0,0,5.6,5.800000000000001,4.4,7.3,True,False,False,False,True,False,False,False,True
1,3,4,0,1,5.6,5.2,3.3999999999999995,5.6,False,True,False,True,False,True,False,False,True
1,4,4,0,0,5.6,8.0,4.0,5.0,True,False,False,False,True,False,False,False,True
0,2,5,0,0,7.0,9.0,2.2,7.300000000000001,True,False,False,False,False,False,True,False,True
0,1,3,0,0,4.8999999999999995,3.2,1.3,6.4,False,False,False,False,True,True,False,False,True
0,2,5,0,0,7.0,6.000000000000001,4.9,6.9,False,False,False,True,False,True,False,False,True
0,4,4,0,0,2.8,3.8,3.3000000000000003,5.8,True,False,False,False,False,False,False,False,True
0,1,4,0,0,5.6,6.000000000000001,1.9,7.8,False,False,False,False,False,False,False,False,True
0,1,4,0,0,4.199999999999999,3.8,3.8,7.699999999999999,True,False,False,True,False,False,True,False,True
0,2,5,0,0,6.3,2.6,2.9,6.5,False,False,False,True,False,True,False,False,True
2,1,4,0,0,7.0,7.8,3.0999999999999996,8.2,True,False,False,False,True,True,False,False,True
2,5,3,0,0,7.0,8.4,2.5,7.8,False,True,False,False,True,True,False,False,True
1,4,4,0,0,4.8999999999999995,2.6,5.8,7.7,False,True,False,True,False,True,False,False,True
1,4,4,0,0,4.199999999999999,3.8000000000000003,5.2,4.9,True,False,False,False,True,False,False,False,True
0,5,5,0,0,4.9,3.8,4.3,9.0,True,False,False,False,True,False,False,False,True
3,5,3,0,0,2.8,5.8,4.5,6.8,True,False,False,False,False,False,False,False,True
0,1,3,0,0,4.2,8.799999999999999,1.9,7.2,True,False,False,False,True,True,False,False,True
2,4,4,0,1,5.6,4.0,4.9,4.800000000000001,True,False,False,False,True,True,False,False,True
1,4,5,0,0,7.0,11.200000000000001,6.2,6.5,False,True,False,False,True,True,False,False,True
0,2,4,0,0,4.9,9.2,4.2,8.6,False,False,True,False,False,True,False,False,True
0,2,2,0,0,2.8,2.6,1.6,3.1999999999999997,False,False,False,True,False,True,False,False,True
3,3,5,0,3,7.0,6.199999999999999,6.2,3.1,False,False,False,False,True,False,False,False,True
2,5,5,0,0,5.6,5.799999999999999,4.7,5.9,True,False,False,False,True,False,False,False,True
2,4,5,0,2,7.0,3.2,5.1,8.6,True,False,False,False,True,False,True,False,True
0,1,3,0,0,4.199999999999999,6.2,3.1,7.800000000000001,False,True,False,True,False,True,False,False,True
1,2,5,0,0,6.3,10.4,5.199999999999999,6.199999999999999,True,False,False,True,False,True,False,False,True
0,1,5,0,0,7.0,2.6,2.5,8.6,False,False,False,True,False,True,False,False,True
1,4,4,0,0,7.0,5.4,3.4999999999999996,7.6,False,False,False,True,False,True,False,False,True
0,5,3,0,0,6.3,5.0,5.0,5.3999999999999995,True,False,False,True,False,True,False,False,True
0,1,3,0,0,4.199999999999999,7.2,1.9,5.4,False,False,False,True,False,True,False,False,True
0,1,3,0,0,6.3,6.4,3.8,6.5,True,False,False,False,True,True,False,False,True
3,4,3,0,1,4.199999999999999,6.0,5.5,6.3,False,True,False,True,False,True,False,False,True
0,1,4,0,0,4.199999999999999,11.8,2.8000000000000003,8.2,True,False,False,False,True,False,True,False,True
0,1,5,0,0,6.3,8.4,3.4,6.8999999999999995,True,False,False,False,True,False,True,False,True
1,4,5,0,0,5.6,6.6,3.0999999999999996,7.1,True,False,False,False,False,False,False,False,True
1,5,4,0,0,5.6,3.4000000000000004,4.3,3.9000000000000004,True,False,False,False,False,False,True,False,True
1,4,5,0,0,5.6,2.6,2.5,7.4,False,False,False,True,False,True,False,False,True
1,3,5,0,0,5.6,6.3999999999999995,4.2,6.4,False,False,False,True,False,True,False,False,True
2,1,5,0,0,7.0,2.6,2.2,7.800000000000001,True,False,False,False,True,False,True,False,True
1,2,5,0,1,6.3,2.6,2.9,5.8999999999999995,False,True,False,True,False,True,False,False,True
3,4,5,0,1,7.0,5.8,4.6,6.199999999999999,True,False,False,False,True,False,False,False,True
3,4,4,0,0,4.199999999999999,4.800000000000001,4.6,5.4,False,True,False,False,True,True,False,False,True
0,2,4,0,0,4.8999999999999995,6.6,3.0,7.8,True,False,False,True,False,True,False,False,True
0,2,5,0,0,4.199999999999999,4.8,3.2,7.4,False,False,False,True,False,False,True,False,True
2,2,5,0,3,7.0,5.6,4.6,6.3,True,False,False,False,False,False,True,False,True
0,2,4,0,0,5.6,5.4,3.2,6.5,False,False,False,False,False,False,False,False,True
0,5,4,0,0,5.6,5.2,4.4,6.7,False,False,False,False,False,False,False,False,True
0,4,4,0,0,6.3,11.2,3.0000000000000004,8.2,True,False,False,True,False,True,False,False,True
0,2,3,0,1,2.8,3.2,3.3,4.2,True,False,False,True,False,False,False,False,True
0,1,5,0,1,3.5,5.8,3.0999999999999996,9.0,False,False,False,True,False,False,False,False,True
2,5,4,0,2,5.6,4.2,5.4,5.9,True,False,False,True,False,True,False,False,True
0,1,5,0,0,3.5,8.6,2.0,7.6,False,False,False,True,False,True,False,False,True
0,3,3,0,0,5.6,6.6,5.8,5.0,True,False,False,False,True,True,False,False,True
2,4,5,0,0,6.3,9.8,4.4,5.5,True,False,False,True,False,True,False,False,True
2,1,4,0,0,6.3,4.3999999999999995,2.9,7.800000000000001,False,False,False,True,False,True,False,False,True
0,1,5,0,0,7.0,4.4,2.9,7.4,True,False,False,False,True,True,False,False,True
2,1,4,0,0,5.6,9.8,3.4,7.199999999999999,False,False,False,True,False,False,True,False,True
2,4,4,0,0,6.3,2.6,3.0,5.5,False,True,False,True,False,True,False,False,True
3,5,5,0,3,5.6,6.2,3.3000000000000003,5.4,False,False,False,True,False,True,False,False,True
2,3,5,0,1,4.2,5.6,5.5,4.6000000000000005,False,True,False,True,False,True,False,False,True
2,1,5,0,2,7.0,7.3999999999999995,5.3,6.5,False,True,False,False,False,True,False,False,True
2,2,4,0,2,4.8999999999999995,6.4,4.2,7.3,True,False,False,False,True,False,False,False,True
0,5,4,0,0,5.6,6.4,4.7,6.699999999999999,False,True,False,True,False,True,False,False,True
0,4,4,0,0,5.6,9.2,4.9,6.199999999999999,False,False,False,False,True,False,False,False,True
2,2,2,0,0,2.8,3.8,5.5,7.3999999999999995,True,False,False,False,True,False,False,False,True
2,2,4,0,0,5.6,5.8,3.2,6.8999999999999995,False,True,False,False,True,False,False,False,True
0,2,4,0,0,5.6,5.8,3.3999999999999995,7.8,True,False,False,True,False,True,False,False,True
0,3,4,0,0,5.6,8.6,5.2,7.699999999999999,False,False,True,False,False,False,True,False,True
0,1,5,0,0,7.0,9.799999999999999,1.3,7.699999999999999,True,False,False,True,False,False,True,False,True
2,1,4,0,1,5.6,4.6,3.6000000000000005,7.2,False,False,False,False,True,False,True,False,True
